,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,updateDate
2534,台南東區焦糖煉乳包心粉圓 (台北士林店),z7b8,1,['甜點'],False,29.0,99.0,40.0,15.0,3.2833138190968594,269,2023-05-23 11:48:33.979633
2535,頃刻間-綠豆沙牛奶專賣,lmd1,1,['飲料'],False,29.0,99.0,40.0,15.0,3.2746200294259036,21,2023-05-23 11:48:33.979633
2536,原味錄 天母店 黑糖刨冰 豆花 甜 品 彩虹湯圓,marv,1,['甜點'],False,29.0,99.0,40.0,15.0,0.6308409363722981,136,2023-05-23 11:48:33.979633
2537,微笑地瓜球 (台北北投店),bzrc,1,['甜點'],False,29.0,99.0,40.0,15.0,1.1525011153722047,84,2023-05-23 11:48:33.979633
2538,咖啡物語,e8tn,1,"['咖啡', '台式']",False,29.0,99.0,40.0,10.0,3.340269683252686,99,2023-05-23 11:48:33.979633
2539,HUGE BURGER,trbn,3,"['漢堡', '歐美']",False,29.0,99.0,40.0,15.0,3.4189639573672137,88,2023-05-23 11:48:33.979633
2540,阿亮麵線,p9yx,1,"['麵食', '小吃']",False,29.0,99.0,40.0,15.0,3.3818410017529326,696,2023-05-23 11:48:33.979633
2541,三街巷蒜味塩酥雞,y3wh,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,10.0,2.532539768327508,7973,2023-05-23 11:48:33.979633
2542,正當冰 (台北劍潭前港店),r9u1,2,['甜點'],False,29.0,99.0,40.0,15.0,3.9512727051478014,5,2023-05-23 11:48:33.979633
2543,維縈家鄉碳烤雞排 天母店,w7x7,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,0.32580486176781936,576,2023-05-23 11:48:33.979633
2544,欲罷不能鹹水雞 (北投明德店),z9ui,1,['小吃'],False,29.0,99.0,40.0,10.0,1.2579266958292163,3677,2023-05-23 11:48:33.979633
2545,日式小攤,b5pq,2,['日式'],False,29.0,99.0,40.0,10.0,3.311999935760633,209,2023-05-23 11:48:33.979633
2546,快樂豆花,ia3x,1,['甜點'],False,29.0,99.0,40.0,15.0,1.511136893349215,288,2023-05-23 11:48:33.979633
2547,石牌夜市熊熊可麗餅,kzm4,1,['甜點'],False,29.0,99.0,40.0,15.0,1.0535968575800054,76,2023-05-23 11:48:33.979633
2548,派對恐龍 PARTY DIngNo 雞蛋糕,tdin,1,['甜點'],False,29.0,99.0,40.0,15.0,2.6243940788752895,27,2023-05-23 11:48:33.979633
2549,八禾生炒花枝焿,aqnt,1,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,3.5304443973742767,1016,2023-05-23 11:48:33.979633
2550,YunYun Patisserie 昀昀甜點工作室,jwnd,3,['甜點'],False,29.0,99.0,40.0,15.0,1.914124015342429,49,2023-05-23 11:48:33.979633
2551,娘娘雞排 (士林捷運店),cf4e,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.8478701852418506,43,2023-05-23 11:48:33.979633
2552,維縈家鄉碳烤雞排 北投店,ij52,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.0237820310895365,1440,2023-05-23 11:48:33.979633
2553,瀚茶坊,bs34,2,['飲料'],False,29.0,99.0,40.0,15.0,3.358740779718933,1,2023-05-23 11:48:33.979633
2554,士林十全排骨店,p7xk,2,['台式'],False,29.0,99.0,40.0,15.0,3.526256550257578,2992,2023-05-23 11:48:33.979633
2555,維縈家鄉碳烤雞排（北投中央南路店）,ilpp,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.9747243158809007,164,2023-05-23 11:48:33.979633
2556,彭阿星鐵板燒潛艇堡/沙威瑪 (北投吉利店),ytka,2,"['麵食', '台式']",False,29.0,99.0,40.0,15.0,2.1105976947256626,180,2023-05-23 11:48:33.979633
2557,韓國叔叔 (北投石牌總店),e4hu,1,['韓式'],False,29.0,99.0,40.0,10.0,1.162125499164849,3801,2023-05-23 11:48:33.979633
2558,尚讚豆腐乳雞排 (北投石牌店),f3pt,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,1.164614183695245,1768,2023-05-23 11:48:33.979633
2559,宇滷味 (台北石牌店),y7me,1,['小吃'],False,29.0,99.0,40.0,15.0,1.1467965171678838,3661,2023-05-23 11:48:33.979633
2560,福雞排-石牌店,l4ap,1,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,2.0455972102391184,1808,2023-05-23 11:48:33.979633
2561,打邊爐  鍋物專賣,l677,1,"['火鍋', '台式']",False,29.0,99.0,40.0,15.0,2.0997976642764486,12,2023-05-23 11:48:33.979633
2562,戀記手工煎餃,vf7j,1,"['小吃', '餃子']",False,29.0,99.0,40.0,15.0,1.4834960903855547,54,2023-05-23 11:48:33.979633
